Length,Iterations,Time
10,10,1.327459995081881e-05
10,20,2.6914400041277987e-05
10,30,2.991340006701648e-05
10,40,5.0262600052519704e-05
10,50,4.816280015802476e-05
10,60,5.895279991818825e-05
10,70,6.611860007978975e-05
10,80,7.52261999878101e-05
10,90,8.655420006107307e-05
10,100,0.00010039420012617484
10,110,0.00010514059995330172
10,120,0.00011141739996674005
10,130,0.00012303559997235426
10,140,0.00013295200005813967
10,150,0.00014223840007616674
10,160,0.00014736880002601537
10,170,0.00016822800007503246
10,180,0.0001654685998801142
10,190,0.00017952620000869502
10,200,0.00019779600006586406
10,210,0.00036223600000084843
10,220,0.00020776800010935403
10,230,0.00021683679988200312
10,240,0.00022575999992113793
10,250,0.00023608379997313022
10,260,0.0002551006000430789
10,270,0.00026591820005705813
10,280,0.0003273406000516843
10,290,0.0002858347999790567
10,300,0.0003559328000847017
10,310,0.00030026139993424297
10,320,0.0003145730001051561
10,330,0.00030943700003263077
10,340,0.0003527315999235725
10,350,0.00032846480007719947
10,360,0.00033716640009515684
10,370,0.000554433599972981
10,380,0.0003554732000338845
10,390,0.00037511680002353385
10,400,0.00040483539996785114
10,410,0.0003732401999513968
10,420,0.0003936940000130562
10,430,0.00039118800013966394
10,440,0.0004330134001065744
10,450,0.00042158999985986156
10,460,0.0004586971999742673
10,470,0.0004609470001014415
10,480,0.000472135399832041
10,490,0.00047005340002215235
10,500,0.000492655800007924
